id,created_on,last_edit,name,skill_cat_id
255,"2024-10-16 14:12:52.185546","2024-10-16 14:12:52.185554",device,13
256,"2024-10-16 14:12:52.186408","2024-10-16 14:12:52.186416","R&D 기획",13
257,"2024-10-16 14:12:52.192426","2024-10-16 14:12:52.192435","Abap개발",13
258,"2024-10-16 14:12:52.193305","2024-10-16 14:12:52.193313","SAP SD",13
259,"2024-10-16 14:12:52.194177","2024-10-16 14:12:52.194185","IMG셋팅",13
260,"2024-10-16 14:12:52.201499","2024-10-16 14:12:52.201507",json,13
261,"2024-10-16 14:12:52.204886","2024-10-16 14:12:52.204894","자동제어",13
262,"2024-10-16 14:12:52.205775","2024-10-16 14:12:52.205783","신호처리",13
263,"2024-10-16 14:12:52.206664","2024-10-16 14:12:52.206672","로보틱스",13
264,"2024-10-16 14:12:52.212929","2024-10-16 14:12:52.212938",Rust,13
265,"2024-10-16 14:12:52.227600","2024-10-16 14:12:52.227609",DSP,13
266,"2024-10-16 14:12:52.228492","2024-10-16 14:12:52.228500","펌웨어 개발",13
267,"2024-10-16 14:12:52.229364","2024-10-16 14:12:52.229373",ARM,13
268,"2024-10-16 14:12:52.230230","2024-10-16 14:12:52.230238","임베디드 시스템",13
269,"2024-10-16 14:12:52.238611","2024-10-16 14:12:52.238619",Fabric,13
270,"2024-10-16 14:12:52.239485","2024-10-16 14:12:52.239494","이더리움",13
271,"2024-10-16 14:12:52.240389","2024-10-16 14:12:52.240397",ethereum,13
272,"2024-10-16 14:12:52.241255","2024-10-16 14:12:52.241263","Smart Contract",13
273,"2024-10-16 14:12:52.242124","2024-10-16 14:12:52.242133",STO,13
274,"2024-10-16 14:12:52.242990","2024-10-16 14:12:52.242998","스마트컨트렉트",13
275,"2024-10-16 14:12:52.247697","2024-10-16 14:12:52.247706","네트워크프로그래밍",13
276,"2024-10-16 14:12:52.248582","2024-10-16 14:12:52.248591","인프라관리",13
277,"2024-10-16 14:12:52.255011","2024-10-16 14:12:52.255019","프레임워크",13
278,"2024-10-16 14:12:52.261311","2024-10-16 14:12:52.261319","분석설계",13
279,"2024-10-16 14:12:52.266150","2024-10-16 14:12:52.266158","SAP ABAP",13
280,"2024-10-16 14:12:52.268922","2024-10-16 14:12:52.268930",cad,13
281,"2024-10-16 14:12:52.270515","2024-10-16 14:12:52.270523","3d cad",13
282,"2024-10-16 14:12:52.273931","2024-10-16 14:12:52.273940","개발",13
283,"2024-10-16 14:12:52.274808","2024-10-16 14:12:52.274816","엔지니어",13
284,"2024-10-16 14:12:52.275696","2024-10-16 14:12:52.275705",Server,13
285,"2024-10-16 14:12:52.286703","2024-10-16 14:12:52.286711",ELK,13
286,"2024-10-16 14:12:52.295581","2024-10-16 14:12:52.295590",RAG,13
287,"2024-10-16 14:12:52.299942","2024-10-16 14:12:52.299950",SW,13
288,"2024-10-16 14:12:52.300830","2024-10-16 14:12:52.300839","영상처리",13
289,"2024-10-16 14:12:52.301701","2024-10-16 14:12:52.301710","시스템개발",13
290,"2024-10-16 14:12:52.307961","2024-10-16 14:12:52.307970",SaaS,13
291,"2024-10-16 14:12:52.316890","2024-10-16 14:12:52.316898",android,13
292,"2024-10-16 14:12:52.317782","2024-10-16 14:12:52.317790",qt,13
293,"2024-10-16 14:12:52.320848","2024-10-16 14:12:52.320856",embeded,13
