id,created_on,last_edit,link,title,experience_level,is_new,deadline,collected_on,company_id,platform_id
87,"2024-10-16 14:12:51.814179","2024-10-16 14:25:13.223685",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284139,"[미리디] 데이터 분석","경력",0,"2025-01-08 00:00:00","2024-10-15 00:00:00",53,2
88,"2024-10-16 14:12:51.819660","2024-10-16 14:25:13.213982",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1280334,"[경력/5년 이상] 데이터 엔지니어 ","경력",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",55,2
89,"2024-10-16 14:12:51.828115","2024-10-16 14:25:13.141372",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284021,"[쿠팡풀필먼트서비스] 데이터 분석가 (Data Analyst)","경력",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",54,2
90,"2024-10-16 14:12:51.835778","2024-10-16 14:25:13.182353",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1282804,"[피알원]데이터 애널리스트(리서쳐) 경력직","경력",0,"2024-11-26 00:00:00","2024-10-15 00:00:00",56,2
91,"2024-10-16 14:12:51.841031","2024-10-16 14:25:13.229784",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1281904,"Data Analyst","경력",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",13,2
92,"2024-10-16 14:12:51.844964","2024-10-16 14:25:13.234670",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1283957,"[Global Talent(Foreigner)] VoC Data Analysis(Entry/Experienced)","경력무관",0,"2024-10-21 00:00:00","2024-10-15 00:00:00",49,2
93,"2024-10-16 14:12:51.848361","2024-10-16 14:25:14.126460",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284336,"프론트엔드 개발자","경력",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",57,2
94,"2024-10-16 14:12:51.855762","2024-10-16 14:25:16.450135",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284346,"B2B/B2C 업무 설계/개발(경력5년이상-개발/PL)","경력",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",58,2
95,"2024-10-16 14:12:51.864909","2024-10-16 14:25:14.178305",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284352,"무선통신 및 해양로봇 개발자","경력무관",0,"2024-11-02 00:00:00","2024-10-15 00:00:00",59,2
96,"2024-10-16 14:12:51.871494","2024-10-16 14:25:16.253607",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284332,"Cyber Threat Analyst","경력",0,"2025-01-13 00:00:00","2024-10-15 00:00:00",60,2
97,"2024-10-16 14:12:51.879061","2024-10-16 14:25:16.469166",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284311,"핀트(fint) 프론트엔드(front-end) 개발자","경력",0,"2024-10-31 00:00:00","2024-10-15 00:00:00",61,2
98,"2024-10-16 14:12:51.889206","2024-10-16 14:25:13.277708",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284303,"시니어 프론트엔드 엔지니어","경력",0,"2025-01-13 00:00:00","2024-10-15 00:00:00",62,2
99,"2024-10-16 14:12:51.898325","2024-10-16 14:25:14.274544",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284334,"Backend Engineer","경력",0,"2025-01-13 00:00:00","2024-10-15 00:00:00",63,2
100,"2024-10-16 14:12:51.905358","2024-10-16 14:25:14.173776",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284359,"기술지원 엔지니어","경력무관",0,"2025-01-13 00:00:00","2024-10-15 00:00:00",64,2
101,"2024-10-16 14:12:51.910143","2024-10-16 14:25:14.294213",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284337,"반도체 회로 설계 개발자","경력",0,"2025-01-13 00:00:00","2024-10-15 00:00:00",65,2
102,"2024-10-16 14:12:51.919225","2024-10-16 14:25:13.466448",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284338,"코덱 엔지니어 (화질분석) (신입)","경력",0,"2025-01-13 00:00:00","2024-10-15 00:00:00",65,2
103,"2024-10-16 14:12:51.924029","2024-10-16 14:25:16.230480",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284317,"스콥정보통신(주) Pre-Sales 및 컨설팅 담당자 채용","경력",0,"2024-11-15 00:00:00","2024-10-15 00:00:00",66,2
104,"2024-10-16 14:12:51.929209","2024-10-16 14:25:14.243271",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284282,"인공지능 개발자","경력",0,"2024-10-30 00:00:00","2024-10-15 00:00:00",67,2
105,"2024-10-16 14:12:51.934140","2024-10-16 14:25:16.038848",https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1284347,"[삼성전기] Front-End 웹개발자 채용 (정규직)","경력",0,"2025-01-13 00:00:00","2024-10-15 00:00:00",68,2
